"NUMBER OF BIRTHS WITH AGE-SPECIFIC FERTILITY RATES PER 1,000 FEMALES AGED 35-44, BY RACE,",,,,,,,,,,,,,,,,,,,
"FOR COUNTIES OF TENNESSEE, RESIDENT DATA, 2018",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,TOTAL,,WHITE,,BLACK,,,,TOTAL,,WHITE,,BLACK,,,,,,
DICKSON,61,17.8,59,18.2,1,8.3,,POLK,18,17.9,18,18.4,-,-,,,,,
DYER,39,16.6,31,16.1,8,21.8,,PUTNAM,101,22.9,94,22.6,5,*,,,,,
FAYETTE,48,21.2,32,21.0,12,17.6,,RHEA,27,14.5,26,14.6,-,-,,,,,
FENTRESS,20,20.1,20,20.8,-,-,,ROANE,51,17.2,48,17.1,2,*,,,,,
FRANKLIN,41,17.8,38,17.8,2,17.9,,ROBERTSON,97,21.0,88,21.2,6,16.2,,,,,
GIBSON,63,20.1,54,21.4,9,15.9,,RUTHERFORD,661,28.2,489,27.8,121,28.6,,,,,
GILES,28,17.7,25,17.7,1,8.0,,SCOTT,27,18.8,27,19.1,-,-,,,,,
GRAINGER,11,8.4,11,8.5,-,-,,SEQUATCHIE,10,11.3,10,11.5,-,-,,,,,
GREENE,64,16.0,61,15.8,1,*,,SEVIER,116,20.1,108,19.6,2,*,,,,,
GRUNDY,17,21.4,16,20.7,-,-,,SHELBY,"1,797",29.2,928,40.0,756,21.7,,,,,
HAMBLEN,75,19.5,72,20.7,2,10.8,,SMITH,22,17.9,..,*,..,*,,,,,
HAMILTON,626,27.6,503,29.6,85,18.7,,STEWART,9,11.8,7,9.8,-,-,,,,,
HANCOCK,9,24.1,9,24.9,-,-,,SULLIVAN,163,18.1,149,17.4,6,33.5,,,,,
HARDEMAN,13,10.2,5,7.5,8,13.9,,SUMNER,362,28.6,303,27.7,43,36.4,,,,,
HARDIN,29,20.0,28,20.3,-,-,,TIPTON,69,17.5,60,19.5,7,9.4,,,,,
HAWKINS,42,13.3,..,*,..,*,,TROUSDALE,10,19.5,10,21.9,-,-,,,,,
HAYWOOD,19,16.9,8,16.6,11,17.5,,UNICOI,15,15.2,..,*,..,*,,,,,
HENDERSON,29,16.4,23,14.2,5,41.3,,UNION,19,17.1,19,17.4,-,-,,,,,
HENRY,26,14.9,24,14.9,1,9.9,,VAN BUREN,10,31.2,10,31.9,-,-,,,,,
HICKMAN,24,17.1,23,16.9,-,-,,WARREN,49,19.0,46,19.0,-,-,,,,,
HOUSTON,3,6.4,3,6.7,-,-,,WASHINGTON,175,23.5,157,22.7,7,25.4,,,,,
HUMPHREYS,21,19.6,..,*,..,*,,WAYNE,11,13.3,11,13.7,-,-,,,,,
JACKSON,7,10.8,7,11.1,-,-,,WEAKLEY,33,18.9,29,18.2,2,17.9,,,,,
JEFFERSON,41,13.3,41,13.8,-,-,,WHITE,25,15.9,25,16.4,-,-,,,,,
JOHNSON,16,17.9,..,*,..,*,,WILLIAMSON,612,35.2,539,35.7,21,27.7,,,,,
KNOX,794,27.0,681,27.2,65,23.5,,WILSON,260,26.6,226,26.4,24,30.8,,,,,
,,,,,,,,,,,,,,,,,,,
"  TOTAL MAY INCLUDE EVENTS WITH RACE OTHER THAN WHITE OR BLACK, OR RACE NOT STATED.",,,,,,,,"SOURCE:  TENNESSEE DEPARTMENT OF HEALTH, DIVISION OF VITAL RECORDS AND STATISTICS",,,,,,,,,,,
   * RATE IS NOT DISPLAYED ACCORDING TO THE TENNESSEE DEPARTMENT OF HEALTH GUIDELINES FOR RELEASE OF AGGREGATE DATA TO THE PUBLIC.,,,,,,,,,,,,,,,,,,,
 ..  COUNT IS NOT DISPLAYED ACCORDING TO THE TENNESSEE DEPARTMENT OF HEALTH GUIDELINES FOR RELEASE OF AGGREGATE DATA TO THE PUBLIC.,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
