"NUMBER OF BIRTHS WITH AGE-SPECIFIC FERTILITY RATES PER 1,000 FEMALES AGED 25-34, BY RACE,",,,,,,,,,,,,,,,,,,,
"FOR COUNTIES OF TENNESSEE, RESIDENT DATA, 2018",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,TOTAL,,WHITE,,BLACK,,,,TOTAL,,WHITE,,BLACK,,,,,,
DICKSON,342,98.4,330,101.6,6,43.5,,POLK,74,83.5,..,*,..,*,,,,,
DYER,220,92.0,174,91.0,43,110.0,,PUTNAM,480,95.3,457,97.7,13,96.3,,,,,
FAYETTE,230,101.6,163,110.1,67,90.4,,RHEA,185,96.4,..,*,..,*,,,,,
FENTRESS,96,105.3,..,*,..,*,,ROANE,263,94.0,254,95.9,2,*,,,,,
FRANKLIN,227,103.3,211,104.7,13,119.3,,ROBERTSON,521,115.6,481,120.4,34,84.8,,,,,
GIBSON,315,102.7,241,99.5,71,121.4,,RUTHERFORD,"2,441",102.1,"1,878",104.9,412,94.5,,,,,
GILES,151,86.1,133,86.8,17,96.0,,SCOTT,120,89.4,118,89.3,-,-,,,,,
GRAINGER,108,91.3,..,*,..,*,,SEQUATCHIE,103,127.5,101,130.7,-,-,,,,,
GREENE,363,96.1,347,96.3,5,*,,SEVIER,561,96.4,543,98.2,5,*,,,,,
GRUNDY,72,94.2,71,96.1,-,-,,SHELBY,"7,123",99.0,"3,004",116.0,"3,786",89.0,,,,,
HAMBLEN,438,112.4,407,114.9,18,111.8,,SMITH,126,108.4,..,*,..,*,,,,,
HAMILTON,"2,483",92.7,"1,930",97.5,469,81.9,,STEWART,81,118.8,..,*,..,*,,,,,
HANCOCK,41,109.3,..,*,..,*,,SULLIVAN,849,92.7,823,95.5,18,74.7,,,,,
HARDEMAN,96,76.7,57,88.1,37,64.6,,SUMNER,"1,210",101.3,"1,084",105.3,96,79.6,,,,,
HARDIN,130,93.5,..,*,..,*,,TIPTON,375,95.7,310,103.6,61,76.3,,,,,
HAWKINS,244,77.9,..,*,..,*,,TROUSDALE,63,83.1,..,*,..,*,,,,,
HAYWOOD,88,83.9,34,81.3,54,88.2,,UNICOI,87,92.6,..,*,..,*,,,,,
HENDERSON,170,100.8,159,104.4,10,78.7,,UNION,104,87.1,104,89.7,-,-,,,,,
HENRY,155,89.8,137,88.9,15,100.7,,VAN BUREN,27,98.9,27,101.1,-,-,,,,,
HICKMAN,147,104.1,..,*,..,*,,WARREN,220,90.2,206,90.8,9,*,,,,,
HOUSTON,50,104.8,50,110.6,-,-,,WASHINGTON,715,89.3,649,89.7,49,134.2,,,,,
HUMPHREYS,135,128.9,..,*,..,*,,WAYNE,58,71.9,..,*,..,*,,,,,
JACKSON,41,67.4,..,*,-,-,,WEAKLEY,172,96.0,165,103.6,7,49.3,,,,,
JEFFERSON,237,81.1,226,80.9,5,*,,WHITE,142,89.0,140,90.9,-,-,,,,,
JOHNSON,78,96.7,..,*,..,*,,WILLIAMSON,"1,507",135.7,"1,318",136.8,52,94.7,,,,,
KNOX,"3,086",95.2,"2,677",98.0,271,82.5,,WILSON,"1,010",115.1,897,117.7,68,94.7,,,,,
,,,,,,,,,,,,,,,,,,,
"  TOTAL MAY INCLUDE EVENTS WITH RACE OTHER THAN WHITE OR BLACK, OR RACE NOT STATED.",,,,,,,,"SOURCE:  TENNESSEE DEPARTMENT OF HEALTH, DIVISION OF VITAL RECORDS AND STATISTICS",,,,,,,,,,,
   * RATE IS NOT DISPLAYED ACCORDING TO THE TENNESSEE DEPARTMENT OF HEALTH GUIDELINES FOR RELEASE OF AGGREGATE DATA TO THE PUBLIC.,,,,,,,,,,,,,,,,,,,
 ..  COUNT IS NOT DISPLAYED ACCORDING TO THE TENNESSEE DEPARTMENT OF HEALTH GUIDELINES FOR RELEASE OF AGGREGATE DATA TO THE PUBLIC.,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
