Counties,Total 15-17,Rates 15-17,Total 18-19,Rates 18-19,Total 20-24,Rates 20-24,Total 25-34,Rates 25-34,Total 35-44,Rates 35-44
HICKMAN,3,7.1,21,78.4,61,103.0,147,104.1,24,17.1
HOUSTON,1,6.5,7,*,25,115.2,50,104.8,3,6.4
HUMPHREYS,3,9.7,14,70.7,64,134.5,135,128.9,21,19.6
JACKSON,3,19.0,3,27.5,36,119.6,41,67.4,7,10.8
JEFFERSON,4,4.0,31,46.5,163,100.1,237,81.1,41,13.3
JOHNSON,4,16.5,11,71.4,56,160.5,78,96.7,16,17.9
KNOX,53,6.2,206,31.7,"1,001",48.9,"3,086",95.2,794,27.0
LAKE,4,*,5,*,16,150.9,33,103.4,4,14.3
LAUDERDALE,7,14.8,22,73.1,107,151.6,131,91.5,14,9.0
LAWRENCE,6,7.0,31,58.1,181,161.3,320,117.8,50,19.8
LEWIS,3,14.4,14,107.7,44,147.2,81,117.2,12,17.2
LINCOLN,11,18.7,18,50.3,111,136.4,205,106.0,34,17.8
LOUDON,8,10.2,23,45.5,112,90.5,264,100.6,54,20.2
MCMINN,12,12.3,47,73.3,165,106.2,294,96.8,48,15.1
MCNAIRY,7,15.5,15,52.4,90,135.1,134,95.3,23,15.1
MACON,6,13.6,31,106.9,109,147.3,161,97.3,28,19.6
MADISON,14,6.4,76,51.1,315,88.8,665,102.5,120,20.6
MARION,7,14.0,31,96.9,99,134.9,152,91.2,30,18.2
MARSHALL,6,8.9,20,47.5,115,134.0,231,104.7,37,17.1
MAURY,15,9.4,42,41.2,276,107.5,696,104.2,155,24.3
MEIGS,3,12.9,16,108.8,38,127.1,54,86.4,13,17.9
MONROE,12,15.3,42,83.7,180,149.1,225,87.8,47,18.6
MONTGOMERY,35,9.1,140,51.2,"1,035",122.5,"1,958",103.1,339,24.7
MOORE,1,8.6,2,*,16,97.0,35,103.6,9,24.4
MORGAN,-,-,17,74.9,77,143.7,85,83.7,21,18.8
OBION,8,14.8,16,45.8,107,128.1,175,100.7,38,21.4
OVERTON,2,5.3,16,64.8,75,122.5,129,105.3,16,12.5
PERRY,3,24.6,6,*,25,116.8,53,119.1,19,42.1
PICKETT,-,-,3,*,14,121.7,19,94.1,2,7.3
POLK,2,7.0,11,59.5,58,134.6,74,83.5,18,17.9
PUTNAM,12,8.0,45,38.7,229,61.2,480,95.3,101,22.9
RHEA,10,15.3,26,62.2,133,138.4,185,96.4,27,14.5
ROANE,7,7.9,33,57.4,140,107.0,263,94.0,51,17.2
ROBERTSON,19,13.6,45,51.4,205,105.2,521,115.6,97,21.0
RUTHERFORD,40,6.0,149,30.6,842,56.3,"2,441",102.1,661,28.2
SCOTT,6,13.0,16,55.7,80,132.7,120,89.4,27,18.8
SEQUATCHIE,1,3.7,16,93.0,47,125.7,103,127.5,10,11.3
SEVIER,11,7.0,43,41.0,291,109.1,561,96.4,116,20.1
SHELBY,303,16.8,691,56.9,"3,154",98.6,"7,123",99.0,"1,797",29.2
SMITH,3,8.5,12,51.9,55,93.9,126,108.4,22,17.9
STEWART,3,12.7,3,19.7,49,139.6,81,118.8,9,11.8
SULLIVAN,19,7.3,77,45.2,396,96.4,849,92.7,163,18.1
SUMNER,26,7.5,108,49.2,439,87.5,"1,210",101.3,362,28.6
TIPTON,2,1.6,32,40.5,175,99.4,375,95.7,69,17.5
TROUSDALE,1,7.4,7,*,41,182.2,63,83.1,10,19.5
UNICOI,5,16.9,15,75.8,52,111.8,87,92.6,15,15.2
UNION,3,9.6,19,95.5,65,123.3,104,87.1,19,17.1
VAN BUREN,1,*,3,*,25,198.4,27,98.9,10,31.2
WARREN,8,10.1,24,49.1,158,153.7,220,90.2,49,19.0
WASHINGTON,20,8.2,49,25.9,285,47.4,715,89.3,175,23.5
WAYNE,-,-,5,34.2,43,127.2,58,71.9,11,13.3
WEAKLEY,7,9.5,17,28.3,86,45.0,172,96.0,33,18.9
WHITE,4,8.6,21,71.2,94,138.6,142,89.0,25,15.9
WILLIAMSON,3,0.5,34,10.5,159,26.9,"1,507",135.7,612,35.2
WILSON,20,7.5,59,35.8,299,86.4,"1,010",115.1,260,26.6
