"NUMBER OF BIRTHS WITH AGE-SPECIFIC FERTILITY RATES PER 1,000 FEMALES AGED 20-24, BY RACE,",,,,,,,,,,,,,,,,,,,
"FOR COUNTIES OF TENNESSEE, RESIDENT DATA, 2018",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,TOTAL,,WHITE,,BLACK,,,,TOTAL,,WHITE,,BLACK,,,,,,
DYER,148,133.1,102,121.1,45,196.5,,PUTNAM,229,61.2,220,62.8,4,*,,,,,
FAYETTE,92,92.6,55,87.9,37,108.5,,RHEA,133,138.4,..,*,..,*,,,,,
FENTRESS,66,148.3,66,151.7,-,-,,ROANE,140,107.0,..,*,..,*,,,,,
FRANKLIN,108,64.0,105,68.9,3,*,,ROBERTSON,205,105.2,174,104.3,30,150.8,,,,,
GIBSON,156,116.5,112,111.3,43,143.8,,RUTHERFORD,842,56.3,603,54.9,198,66.6,,,,,
GILES,86,100.8,80,115.3,5,44.2,,SCOTT,80,132.7,80,136.3,-,-,,,,,
GRAINGER,100,176.1,..,*,..,*,,SEQUATCHIE,47,125.7,47,130.6,-,-,,,,,
GREENE,198,106.1,193,111.1,4,*,,SEVIER,291,109.1,285,115.4,3,*,,,,,
GRUNDY,57,163.8,57,166.7,-,-,,SHELBY,"3,154",98.6,703,64.0,"2,404",123.0,,,,,
HAMBLEN,220,128.3,204,129.9,8,*,,SMITH,55,93.9,..,*,..,*,,,,,
HAMILTON,891,78.4,554,68.9,323,118.7,,STEWART,49,139.6,49,149.4,-,-,,,,,
HANCOCK,22,134.1,..,*,..,*,,SULLIVAN,396,96.4,379,99.7,14,107.7,,,,,
HARDEMAN,76,120.8,36,119.2,38,127.1,,SUMNER,439,87.5,376,87.1,55,116.3,,,,,
HARDIN,66,107.5,..,*,..,*,,TIPTON,175,99.4,115,88.8,58,142.9,,,,,
HAWKINS,164,114.2,..,*,..,*,,TROUSDALE,41,182.2,..,*,..,*,,,,,
HAYWOOD,65,134.0,23,107.0,42,162.2,,UNICOI,52,111.8,..,*,..,*,,,,,
HENDERSON,91,126.4,..,*,..,*,,UNION,65,123.3,64,125.5,-,-,,,,,
HENRY,101,138.2,90,139.1,10,*,,VAN BUREN,25,198.4,25,206.6,-,-,,,,,
HICKMAN,61,103.0,61,108.7,-,-,,WARREN,158,153.7,..,*,..,*,,,,,
HOUSTON,25,115.2,..,*,..,*,,WASHINGTON,285,47.4,265,50.3,13,36.6,,,,,
HUMPHREYS,64,134.5,..,*,..,*,,WAYNE,43,127.2,43,131.5,-,-,,,,,
JACKSON,36,119.6,36,125.0,-,-,,WEAKLEY,86,45.0,78,49.6,7,27.2,,,,,
JEFFERSON,163,100.1,..,*,..,*,,WHITE,94,138.6,..,*,..,*,,,,,
JOHNSON,56,160.5,..,*,-,-,,WILLIAMSON,159,26.9,127,24.1,21,72.9,,,,,
KNOX,"1,001",48.9,815,47.3,173,85.4,,WILSON,299,86.4,269,91.5,25,74.9,,,,,
,,,,,,,,,,,,,,,,,,,
"  TOTAL MAY INCLUDE EVENTS WITH RACE OTHER THAN WHITE OR BLACK, OR RACE NOT STATED.",,,,,,,,"SOURCE:  TENNESSEE DEPARTMENT OF HEALTH, DIVISION OF VITAL RECORDS AND STATISTICS",,,,,,,,,,,
   * RATE IS NOT DISPLAYED ACCORDING TO THE TENNESSEE DEPARTMENT OF HEALTH GUIDELINES FOR RELEASE OF AGGREGATE DATA TO THE PUBLIC.,,,,,,,,,,,,,,,,,,,
 ..  COUNT IS NOT DISPLAYED ACCORDING TO THE TENNESSEE DEPARTMENT OF HEALTH GUIDELINES FOR RELEASE OF AGGREGATE DATA TO THE PUBLIC.,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
