StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q4,Q6A1,Q6A3,Q6A3_1_TEXT,Q138,Q138_4_TEXT,Q6A2,Q41_1,Q41_2,Q78,Q78_9_TEXT,Q1F4,Q4A1,Q40_1,Q40_2,Q40_3,Q40_4,Q40_5,Q5A1,HH1,Q1A1,Q122,Q1A2,Q1A2_1_TEXT,Q1A3,Q1A3_3_TEXT,Q1A4a,Q1A4b,Q1A5a,Q1A5a_1_TEXT,Q1A5b,Q1A5b_1_TEXT,Q65,Q65_1_TEXT,Q1B6,Q80,Q80_1_TEXT,Q80_2_TEXT,Q4B1,Q4B1_1_TEXT,Q4D1,Q4D2,Q2,Q3,Q4,Q5,Q6E1a,Q6E1b,Q6E1c,Q6E1d,Q6E1e,Q6E1g,Q1E1,Q1E2a,Q1E2f,Q1C1a,Q131,Q2A1a,Q2A1b,Q2A2,Q2A3,Q2A5,Q2A6,Q5A2,Q141,Q5B1,Q5B2a,Q5B2a_101_TEXT,Q145,Q145_5_TEXT,Q5B3,Q5B3_101_TEXT,Q252,Q252_11_TEXT,Q249,Q250,Q251,Q251_10_TEXT,Q137,Q5B2a_6_TEXT - Actionability,Q5B2a_6_TEXT - Effort,Q5B2a_6_TEXT - Effort Numeric,Q5B2a_6_TEXT - Emotion Intensity,Q5B2a_6_TEXT - Emotion,Q5B2a_6_TEXT - Parent Topics,Q5B2a_6_TEXT - Sentiment Polarity,Q5B2a_6_TEXT - Sentiment Score,Q5B2a_6_TEXT - Sentiment,Q5B2a_6_TEXT - Topic Sentiment Label,Q5B2a_6_TEXT - Topic Sentiment Score,Q5B2a_6_TEXT - Topics,Q5B3_6_TEXT - Actionability,Q5B3_6_TEXT - Effort,Q5B3_6_TEXT - Effort Numeric,Q5B3_6_TEXT - Emotion Intensity,Q5B3_6_TEXT - Emotion,Q5B3_6_TEXT - Parent Topics,Q5B3_6_TEXT - Sentiment Polarity,Q5B3_6_TEXT - Sentiment Score,Q5B3_6_TEXT - Sentiment,Q5B3_6_TEXT - Topic Sentiment Label,Q5B3_6_TEXT - Topic Sentiment Score,Q5B3_6_TEXT - Topics,Q249 - Actionability,Q249 - Effort,Q249 - Effort Numeric,Q249 - Emotion Intensity,Q249 - Emotion,Q249 - Parent Topics,Q249 - Sentiment Polarity,Q249 - Sentiment Score,Q249 - Sentiment,Q249 - Topic Sentiment Label,Q249 - Topic Sentiment Score,Q249 - Topics,Q250 - Actionability,Q250 - Effort,Q250 - Effort Numeric,Q250 - Emotion Intensity,Q250 - Emotion,Q250 - Parent Topics,Q250 - Sentiment Polarity,Q250 - Sentiment Score,Q250 - Sentiment,Q250 - Topic Sentiment Label,Q250 - Topic Sentiment Score,Q250 - Topics,Q251_10_TEXT - Actionability,Q251_10_TEXT - Effort,Q251_10_TEXT - Effort Numeric,Q251_10_TEXT - Emotion Intensity,Q251_10_TEXT - Emotion,Q251_10_TEXT - Parent Topics,Q251_10_TEXT - Sentiment Polarity,Q251_10_TEXT - Sentiment Score,Q251_10_TEXT - Sentiment,Q251_10_TEXT - Topic Sentiment Label,Q251_10_TEXT - Topic Sentiment Score,Q251_10_TEXT - Topics,Q145_5_TEXT - Actionability,Q145_5_TEXT - Effort,Q145_5_TEXT - Effort Numeric,Q145_5_TEXT - Emotion Intensity,Q145_5_TEXT - Emotion,Q145_5_TEXT - Parent Topics,Q145_5_TEXT - Sentiment Polarity,Q145_5_TEXT - Sentiment Score,Q145_5_TEXT - Sentiment,Q145_5_TEXT - Topic Sentiment Label,Q145_5_TEXT - Topic Sentiment Score,Q145_5_TEXT - Topics,Q78_9_TEXT - Actionability,Q78_9_TEXT - Effort,Q78_9_TEXT - Effort Numeric,Q78_9_TEXT - Emotion Intensity,Q78_9_TEXT - Emotion,Q78_9_TEXT - Parent Topics,Q78_9_TEXT - Sentiment Polarity,Q78_9_TEXT - Sentiment Score,Q78_9_TEXT - Sentiment,Q78_9_TEXT - Topic Sentiment Label,Q78_9_TEXT - Topic Sentiment Score,Q78_9_TEXT - Topics,Q4B1_8_TEXT - Actionability,Q4B1_8_TEXT - Effort,Q4B1_8_TEXT - Effort Numeric,Q4B1_8_TEXT - Emotion Intensity,Q4B1_8_TEXT - Emotion,Q4B1_8_TEXT - Parent Topics,Q4B1_8_TEXT - Sentiment Polarity,Q4B1_8_TEXT - Sentiment Score,Q4B1_8_TEXT - Sentiment,Q4B1_8_TEXT - Topic Sentiment Label,Q4B1_8_TEXT - Topic Sentiment Score,Q4B1_8_TEXT - Topics,Q5B2a_6_TEXT - Topic Hierarchy Level 1,Q251_10_TEXT - Topic Hierarchy Level 1,Q249 - Topic Hierarchy Level 1,Q250 - Topic Hierarchy Level 1,Q4B1_8_TEXT - Topic Hierarchy Level 1,Q78_9_TEXT - Topic Hierarchy Level 1,Q5B3_6_TEXT - Topic Hierarchy Level 1,Q145_5_TEXT - Topic Hierarchy Level 1
11/12/24 9:31,11/12/24 9:54,IP Address,12.195.73.250,100,1392,TRUE,11/12/24 9:54,R_6lzCDTCOUfKxdFu,,,,,36.1085,-86.7738,anonymous,EN,I am 18 years or older and agree to begin the survey,Yes,Enter number of times,2,,,No,Often true,Often true,I do not face any challenges,,"Rely on friends or family transportation,Biking or walking",Excellent,,,,,,No,3,No one in the household under age 18,2,Enter your age in years:,40,A man,,No,Prefer not to answer,Enter zip code (5 digit),37214,,,Enter county,Davidson,Prefer not to answer,"Yes, and my first name and phone number is:",615-398-2358,,None,,No,Yes,None,None,Does not apply to me,Don't know,Yes,No,Yes,No,No,No,Yes,Somewhat,Somewhat,Zero ,Not working/unemployed,Someone elseâ€™s place,Parentâ€™s,Yes,"No, living somewhere else ",No,No,,Yes,,,,,,Other,don't have anymore,None,,amazing,Because God loves me and I know it to be true. I have a loving family and outstanding friends.,None,,thank you for your time,,,,,,,,,,,,,other,Neutral,0,None,None,,0,0,Neutral,,,Unknown,other,Neutral,0,None,None,,0,2,Very Positive,,,Unknown,other,Neutral,0,High,Love,,0,2,Very Positive,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/5/24 10:16,11/5/24 10:32,IP Address,107.119.69.17,37,919,FALSE,11/12/24 10:32,R_3HdVvopOh4rYOnw,,,,,,,qr,ES-ES,I am 18 years or older and agree to begin the survey,Yes,Don't know,,,,Prefer not to answer,Often true,Often true,Other,,"A vehicle owned by you or a household member,Prefer not to answer",Don't know,Prefer not to answer,Prefer not to answer,Prefer not to answer,Prefer not to answer,Prefer not to answer,No,6,3,Prefer not to answer,Enter your age in years:,34,A woman,,Prefer not to answer,Prefer not to answer,Enter zip code (5 digit),37148,,,Enter county,Sumner,Prefer not to answer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/12/24 10:44,11/12/24 11:07,IP Address,136.58.106.84,100,1417,TRUE,11/12/24 11:07,R_5YceUfz7ShMr8g6,,,,,36.1769,-86.7339,qr,EN,I am 18 years or older and agree to begin the survey,Yes,Don't know,,,,Yes,Sometimes true,Sometimes true,"I do not know enough places where I can receive free groceries,The locations are too far away from me or inconvenient for me to visit,I do not have easy access to a car or public transit, I can't afford gas or bus fare, or I have trouble carrying my food home,The site does not have the type of groceries I want or need.,I do not think I am eligible to get free groceries.",,"Public transportation like the bus,Taxis or ride share services,Rely on friends or family transportation",Fair,,1 or 2 times per year,,Some months,Never,Yes,7,2,No one in the household over age 60,Enter your age in years:,47,A woman,,No,Black or African American,Enter zip code (5 digit),37203,,,Prefer not to answer,,Grades 9 through 11 (Some high school),"Yes, and my first name and phone number is:",Tranetha 615-769-6585,,"Diabetes / sugar diabetes / prediabetes,High blood pressure / hypertension",,Yes,Yes,None,None,Rarely,Does not apply to me,No,No,No,Yes,Yes,Don't know,Don't know,Not at all,Somewhat,Less than $500,Not working/unemployed,A place you rent,,Don't know,"Yes, living/staying here",No,No,2 weeks,,,,,,,,,"Health care services or health screenings,Transportation assistance (for example, bus vouchers or free rides)",,Blessed,I feel that we are blessed everyday ,"Healthy and affordable food,Being able to save money and pass it on to my family,Affordable health care,Better jobs that pay well and offer benefits,Quality education and training,Affordable housing in my community,Reducing racism and discrimination,Convenient, reliable transportation,Access to local resources that can help me; like food banks, housing programs, and free/low-cost health clinics",,No have a blessed day,,,,,,,,,,,,,,,,,,,,,,,,,not meaningful message,Neutral,0,Low,Love,,0,0,Neutral,,,Unknown,other,Neutral,0,Low,Joy,,0,1,Positive,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/12/24 10:42,11/12/24 11:11,IP Address,107.127.53.43,100,1772,TRUE,11/12/24 11:11,R_5iXwgxzJqhRTED7,,,,,35.1063,-89.941,qr,EN,I am 18 years or older and agree to begin the survey,Yes,Enter number of times,5,,,Yes,Often true,Often true,I do not know enough places where I can receive free groceries,,A vehicle owned by you or a household member,Poor,Every month,Every month,Every month,Every month,Every month,No,1,No one in the household under age 18,No one in the household over age 60,Enter your age in years:,45,A woman,,No,White,Enter zip code (5 digit),38464,,,Enter county,Usa,Grades 1 through 8 (Elementary),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/12/24 14:42,11/12/24 15:02,IP Address,107.119.69.72,100,1165,TRUE,11/12/24 15:02,R_12Fyz1I2Hu78ZLb,,,,,35.1567,-89.9274,qr,EN,I am 18 years or older and agree to begin the survey,Yes,Enter number of times,6,,,Yes,Often true,Sometimes true,"I do not know enough places where I can receive free groceries,I do not have easy access to a car or public transit, I can't afford gas or bus fare, or I have trouble carrying my food home,It takes too long to wait at the site for free groceries.",,"Public transportation like the bus,Biking or walking",Poor,Some months,Some months,Some months,Some months,Never,Yes,7,5,No one in the household over age 60,Enter your age in years:,46,A woman,,No,Black or African American,Enter zip code (5 digit),37206,,,Enter county,davidson,Grades 9 through 11 (Some high school),"Yes, and my first name and phone number is:",kendra 6157691330,,"Diabetes / sugar diabetes / prediabetes,High blood pressure / hypertension",,Yes,Yes,None,2 to 3 times,Sometimes,Sometimes,Yes,No,Yes,Yes,Yes,Yes,Yes,Completely,Completely,Zero ,Not working/unemployed,A place you rent,,Don't know,"No, living somewhere else ",No,Don't know,3 weeks,,,,,,,,,"Housing/utility assistance or referrals,Transportation assistance (for example, bus vouchers or free rides)",,trying,its hard to get the help needed,"Healthy and affordable food,Being able to save money and pass it on to my family,Convenient, reliable transportation,Access to local resources that can help me; like food banks, housing programs, and free/low-cost health clinics",,,,,,,,,,,,,,,,,,,,,,,,,,,other,Neutral,0,None,None,,0,0,Neutral,,,Unknown,other,Hard,-1,Low,Frustration,,0,-1,Negative,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/12/24 14:35,11/12/24 15:09,IP Address,75.3.71.7,100,2038,TRUE,11/12/24 15:09,R_3QwAAtFUGLSoBEd,,,,,36.2134,-86.7311,qr,EN,I am 18 years or older and agree to begin the survey,Yes,Enter number of times,6,,,No,Often true,Sometimes true,"I do not know enough places where I can receive free groceries,I feel uncomfortable asking for help.,I do not think I am eligible to get free groceries.",,A vehicle owned by you or a household member,Good,Some months,Some months,Some months,Every month,,Yes,Prefer not to answer,1,1,Prefer not to answer,,A woman,,No,Prefer not to answer,Enter zip code (5 digit),37216,,,Enter county,Davidson ,College 1 year to 3 years (Some college or technical school),"Yes, and my first name and email address is:",,Roslyn  rosswilliams711@yahoo.com ,High blood pressure / hypertension,,Yes,Yes,None,None,Rarely,Does not apply to me,Yes,Prefer not to answer,No,Prefer not to answer,Prefer not to answer,Prefer not to answer,No,Not at all,Completely,"$2,000 â€“ $2,999",Working for pay part-time (less than 30 hours per week),A place you own,,Yes,"Yes, living/staying here",No,Don't know,3 weeks,,,,,,,,,Housing/utility assistance or referrals,,Stressful,"family heath issues, financial issues, child care/education issues","Healthy and affordable food,Being able to save money and pass it on to my family,Access to local resources that can help me; like food banks, housing programs, and free/low-cost health clinics",,N/A,,,,,,,,,,,,,,,,,,,,,,,,,other,Hard,-1,Medium,Frustration,,0,-1,Negative,,,Unknown,other,Neutral,0,None,None,,0,-2,Very Negative,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/12/24 17:04,11/12/24 17:14,IP Address,172.223.133.85,100,620,TRUE,11/12/24 17:14,R_5VgytHwW3McjBcJ,,,,,35.9235,-88.7713,qr,EN,I am 18 years or older and agree to begin the survey,Yes,Don't know,,,,Prefer not to answer,Never true,Sometimes true,I do not think I am eligible to get free groceries.,,A vehicle owned by you or a household member,Very good,Prefer not to answer,Prefer not to answer,Prefer not to answer,Prefer not to answer,Prefer not to answer,No,2,No one in the household under age 18,2,Enter your age in years:,68,A woman,,No,White,Enter zip code (5 digit),38358,,,Enter county,Gibson,Grade 12 or GED (High school graduate),"Yes, and my first name and email address is:",,Debra. Debrajames30@gmail.com,Prefer not to answer,,Prefer not to answer,No,None,None,Does not apply to me,Does not apply to me,Prefer not to answer,Prefer not to answer,Prefer not to answer,Prefer not to answer,Prefer not to answer,Prefer not to answer,Prefer not to answer,Prefer not to answer,Prefer not to answer,Prefer not to answer,Retired,A place you own,,Yes,"Yes, living/staying here",No,No,,Prefer not to answer,,,,,,,,None,,Good,Everything is good,None,,Thank you,,,,,,,,,,,,,,,,,,,,,,,,,other,Neutral,0,None,None,,0,1,Positive,,,Unknown,other,Neutral,0,None,None,,0,1,Positive,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/12/24 18:46,11/12/24 18:59,IP Address,184.52.82.3,100,788,TRUE,11/12/24 18:59,R_6WJaju4PMI9AL6I,,,,,32.7797,-96.8022,qr,EN,I am 18 years or older and agree to begin the survey,Yes,Enter number of times,4,,,No,Sometimes true,Sometimes true,"I do not have easy access to a car or public transit, I can't afford gas or bus fare, or I have trouble carrying my food home",,Rely on friends or family transportation,Poor,Never,Some months,Some months,Never,Never,Yes,3,2,No one in the household over age 60,Enter your age in years:,53,A woman,,No,White,Enter zip code (5 digit),38478,,,Enter county,Giles,Grade 12 or GED (High school graduate),"Yes, and my first name and email address is:",,Tillmanmakayla24@icloud.com,High blood pressure / hypertension,,No,No,None,None,Never,Never,Yes,No,No,Yes,No,No,No,Very little,Somewhat,Zero ,Not working/unemployed,A place you rent,,Don't know,"No, living somewhere else ",No,No,3 weeks,,,,,,,,,"Housing/utility assistance or referrals,Transportation assistance (for example, bus vouchers or free rides),Employment assistance (for example, job training or resume writing),Mental health assistance or referrals",,Omg,Taxing ,"Being able to save money and pass it on to my family,Better jobs that pay well and offer benefits,Affordable housing in my community,Convenient, reliable transportation,Access to local resources that can help me; like food banks, housing programs, and free/low-cost health clinics",,,,,,,,,,,,,,,,,,,,,,,,,,,not meaningful message,Neutral,0,None,None,,0,0,Neutral,,,Unknown,other,Neutral,0,None,None,,0,0,Neutral,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/5/24 19:27,11/5/24 19:30,IP Address,172.58.146.254,29,192,FALSE,11/12/24 19:30,R_50cJtStHZAixPuT,,,,,,,qr,EN,I am 18 years or older and agree to begin the survey,Yes,Don't know,,,,No,Often true,Often true,"The places where I can receive free groceries are not open during the times or days that I need,It takes too long to wait at the site for free groceries.,I feel uncomfortable asking for help.",,A vehicle owned by you or a household member,Fair,Some months,Every month,Every month,Every month,Never,No,3,2,No one in the household over age 60,Enter your age in years:,37,A woman,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/13/24 9:02,11/13/24 9:11,IP Address,174.219.133.34,100,570,TRUE,11/13/24 9:11,R_7pg1rPsZ1w21SNd,,,,,36.1115,-86.6598,anonymous,EN,I am 18 years or older and agree to begin the survey,Yes,Enter number of times,8,,,No,Often true,Often true,I do not face any challenges,,A vehicle owned by you or a household member,Good,Some months,Every month,Every month,Some months,Some months,Yes,4,1,,Enter your age in years:,38,A woman,,No,White,Enter zip code (5 digit),38545,,,Enter county,Jackson,Grade 12 or GED (High school graduate),"Yes, and my first name and phone number is:",Darcy 423-701-0499,,None,,No,No,None,None,Rarely,Does not apply to me,Yes,No,No,Yes,Yes,No,Yes,Not at all,Completely,$500  â€“ $999,Not working/unemployed,A place you rent,,Don't know,"No, living somewhere else ",No,Don't know,2 weeks,,,,,,,,,"Housing/utility assistance or referrals,Mental health assistance or referrals",,Worrisome,I never know if Iâ€™ll have the finances to cover monthly expenses. ,"Healthy and affordable food,Being able to save money and pass it on to my family,Better jobs that pay well and offer benefits,Affordable housing in my community,Access to local resources that can help me; like food banks, housing programs, and free/low-cost health clinics",,,,,,,,,,,,,,,,,,,,,,,,,,,other,Hard,-1,Medium,"Frustration,Disgust",,0,-2,Very Negative,,,Unknown,other,Neutral,0,None,None,,0,-1,Negative,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/13/24 9:07,11/13/24 9:13,IP Address,73.58.199.203,100,327,TRUE,11/13/24 9:13,R_7QXvUF5d3G1wsyN,,,,,36.4028,-86.467,anonymous,EN,I am 18 years or older and agree to begin the survey,Don't know,,,,,No,Often true,Sometimes true,"I do not have easy access to a car or public transit, I can't afford gas or bus fare, or I have trouble carrying my food home,I feel uncomfortable asking for help.",,A vehicle owned by you or a household member,Very good,1 or 2 times per year,Every month,Every month,Every month,Some months,Yes,3,2,No one in the household over age 60,Enter your age in years:,41,A woman,,Prefer not to answer,Black or African American,Enter zip code (5 digit),37172,,,Enter county,Robertson ,College 1 year to 3 years (Some college or technical school),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/13/24 9:04,11/13/24 9:18,IP Address,107.119.69.34,100,824,TRUE,11/13/24 9:18,R_3uEfZzGXSJjP65r,,,,,35.1567,-89.9274,anonymous,EN,I am 18 years or older and agree to begin the survey,Yes,Don't know,,,,No,Often true,Often true,I do not know enough places where I can receive free groceries,,A vehicle owned by you or a household member,Good,Every month,Every month,Every month,Every month,Never,Yes,2,No one in the household under age 18,No one in the household over age 60,Enter your age in years:,38,A woman,,No,White,Enter zip code (5 digit),38310,,,Enter county,Mcnairy ,Grades 9 through 11 (Some high school),"Yes, and my first name and phone number is:",Susan flowers 7313158367,,"Diabetes / sugar diabetes / prediabetes,High blood pressure / hypertension",,No,No,None,None,Rarely,Never,Yes,Yes,No,Yes,No,No,No,Not at all,Completely,Zero ,Not working/unemployed,A place you rent,,Prefer not to answer,"No, living somewhere else ",No,No,2 weeks,,,,,,,,,Help signing up for food assistance programs like SNAP (food stamps) or WIC,,Struggling never no what I'm gonna eat one day to next,Never know what I'm gonna have to eat,"Healthy and affordable food,Being able to save money and pass it on to my family,Affordable housing in my community",,Wish could get more help with food tired of worrying if I'm gonna have food to eat ,,,,,,,,,,,,,,,,,,,,,,,,,other,Hard,-1,Low,"Fear,Frustration",,0,-1,Negative,,,Unknown,other,Neutral,0,None,None,,0,-1,Negative,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/13/24 9:14,11/13/24 9:20,IP Address,152.42.38.88,100,392,TRUE,11/13/24 9:20,R_1Lp999pY2n7Tz1K,,,,,35.5478,-87.552,anonymous,EN,I am 18 years or older and agree to begin the survey,No,,,I am not comfortable asking for help.,,No,Sometimes true,Never true,"I do not know enough places where I can receive free groceries,The places where I can receive free groceries are not open during the times or days that I need,I feel uncomfortable asking for help.",,A vehicle owned by you or a household member,Good,Never,Every month,Never,Every month,Never,No,1,No one in the household under age 18,1,Enter your age in years:,65,A man,,No,White,Enter zip code (5 digit),38462,,,Enter county,Lewis,College 4 years or more (College graduate),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/13/24 9:15,11/13/24 9:22,IP Address,148.59.251.104,100,445,TRUE,11/13/24 9:22,R_3YzdeCdPHdiPCMN,,,,,36.2155,-85.5426,anonymous,EN,I am 18 years or older and agree to begin the survey,Yes,Enter number of times,10,,,No,Often true,Sometimes true,"I do not know enough places where I can receive free groceries,I do not have easy access to a car or public transit, I can't afford gas or bus fare, or I have trouble carrying my food home",,"Public transportation like the bus,Rely on friends or family transportation",Poor,Some months,Some months,Never,Never,Never,Yes,4,1,No one in the household over age 60,Enter your age in years:,38,A woman,,No,White,Enter zip code (5 digit),38544,,,Enter county,Putnam ,Grade 12 or GED (High school graduate),"Yes, and my first name and phone number is:",Ashley 931-265-3204 ,,"High blood pressure / hypertension,Heart disease / stroke,Other",Cancer ,No,No,1 time,2 to 3 times,Sometimes,Rarely,Yes,No,No,Yes,Yes,No,No,Not at all,Completely,$500  â€“ $999,Not working/unemployed,A place you own,,Yes,"Yes, living/staying here",No,No,3 weeks,,,,,,,,,None,,Unhappy,Everything seems to be going wrong,"Affordable housing in my community,Convenient, reliable transportation",,,,,,,,,,,,,,,,,,,,,,,,,,,other,Neutral,0,High,Anger,,0,-1,Negative,,,Unknown,other,Neutral,0,None,None,,0,-1,Negative,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,Neutral,0,None,None,,0,0,Neutral,,,Unknown,,,,,,,,
11/13/24 9:05,11/13/24 9:23,IP Address,172.223.166.171,100,1079,TRUE,11/13/24 9:23,R_5n6i9sbrC3cjEm0,,,,,35.2248,-88.2492,anonymous,EN,I am 18 years or older and agree to begin the survey,Yes,Enter number of times,5,,,No,Often true,Often true,Other,I get them from you once a month,A vehicle owned by you or a household member,Fair,Every month,Every month,Some months,Some months,Never,No,2,No one in the household under age 18,2,Enter your age in years:,62,A woman,,No,White,Enter zip code (5 digit),38372,,,Enter county,Hardin ,College 4 years or more (College graduate),"Yes, and my first name and phone number is:",Jeanine 731-438-0341,,"High blood pressure / hypertension,Other",,No,Yes,None,2 to 3 times,Often,Often,Yes,No,No,Yes,Yes,Yes,Yes,Not at all,Completely,"$1,000 â€“ $1,999",Retired,A place you own,,Yes,"Yes, living/staying here",No,No,,No,No,Other,Rejected for medical so I figured I'd also be Rejected for food assistance ,,,,,"Housing/utility assistance or referrals,Help signing up for food assistance programs like SNAP (food stamps) or WIC",,Hard,Everyday is a physical and mental struggle ,Healthy and affordable food,,No,other,Neutral,0,None,None,,0,0,Neutral,,,Unknown,,,,,,,,,,,,,other,Neutral,0,None,None,,0,0,Neutral,,,Unknown,other,Hard,-1,Medium,Frustration,,0,-1,Negative,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,other,Neutral,0,None,None,,0,0,Neutral,,,Unknown,,,,,,,,,,,,,,,,,,,,
11/13/24 9:14,11/13/24 9:23,IP Address,199.187.200.213,100,566,TRUE,11/13/24 9:23,R_1rHcboYrz5M0l7u,,,,,36.2155,-85.5426,anonymous,EN,I am 18 years or older and agree to begin the survey,Yes,Enter number of times,7,,,No,Often true,Sometimes true,The places where I can receive free groceries are not open during the times or days that I need,,A vehicle owned by you or a household member,Very good,Every month,Every month,Every month,Every month,Some months,Yes,4,2,No one in the household over age 60,Enter your age in years:,32,A woman,,No,White,Enter zip code (5 digit),38506,,,Enter county,Putnam ,Grade 12 or GED (High school graduate),"Yes, and my first name and phone number is:",Telecia 931-280-2633 ,,Diabetes / sugar diabetes / prediabetes,,Yes,Yes,None,None,Sometimes,Sometimes,No,No,No,Yes,Yes,Yes,No,Not at all,Completely,"$2,000 â€“ $2,999",Working for pay full-time (more than 30 hours per week),A place you rent,,Don't know,"Yes, living/staying here",No,Yes,2 weeks,,,,,,,,,"Housing/utility assistance or referrals,Financial planning or budgeting assistance",,Struggling,Struggling because everything is so expensive.  Also trying to plan for Christmas ,"Healthy and affordable food,Being able to save money and pass it on to my family,Affordable health care,Better jobs that pay well and offer benefits,Affordable housing in my community",,I appreciate all the help my family gets through second harvest ,,,,,,,,,,,,,,,,,,,,,,,,,other,Hard,-1,Low,Frustration,,0,-1,Negative,,,Unknown,other,Hard,-1,Low,Frustration,,0,-2,Very Negative,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/13/24 9:13,11/13/24 9:25,IP Address,169.150.162.229,100,720,TRUE,11/13/24 9:25,R_5zpwzEGuTaxyYNr,,,,,36.1006,-85.7338,anonymous,EN,I am 18 years or older and agree to begin the survey,Yes,Enter number of times,Two ,,,Yes,Sometimes true,Sometimes true,I feel uncomfortable asking for help.,,A vehicle owned by you or a household member,Poor,1 or 2 times per year,1 or 2 times per year,Never,Never,Never,Yes,4,1,No one in the household over age 60,Don't Know ,,A man,,No,White,Enter zip code (5 digit),38544,,,Enter county,Putnum,Grades 1 through 8 (Elementary),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
